label,jurisdiction,state,topic,technology
"Imperial County CA","Imperial County",California,geothermal ordinance,geothermal electricity
"Malheur County OR","Malheur County",Oregon,geothermal ordinance,geothermal electricity
"Chaffee County CO","Chaffee County",Colorado,geothermal ordinance,geothermal electricity
"Churchill County NV","Churchill County",Nevada,geothermal ordinance,geothermal electricity
"Lake County CA","Lake County",California,geothermal ordinance,geothermal electricity
"Napa County CA","Napa County",California,geothermal ordinance,geothermal electricity
"Lyon County NV","Lyon County",Nevada,geothermal ordinance,geothermal electricity
